,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,49,49,49,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,,,,,,,,,,,,,,,
,,,,,,52,,,,,,55,55,55,,,,,,,,,50,,,,,,,49,49,49,49,49,49,,,,,,,,,,,,,,
,,,,,,,,,,,,55,55,55,,,,,,,,,,,66,,,,,49,49,,49,49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,79,,,,79,,,,,,,,,,,,,48,49,49,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,48,49,49,,,,,,,,,,,,,,
,,,55,,79,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,48,48,49,,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,48,48,49,,,,,,,,,,,,,,
,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,48,48,,48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,
,,,79,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,79,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,,,,79,79,,,,,,,,,,,,59,,,,,,,,,48,48,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,48,48,48,49,,,,,,,,,,,,,,,,
,,,,,59,,,,,,,,,,,,,,,,,,,,53,,,,79,,,50,49,49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,49,50,50,49,46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,,46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,66,66,66,66,,,,,,46,46,46,46,46,46,46,46,,,,,,,,,,,,,,,
,,,,47,,,,,,,79,,,,,,66,56,56,56,,,,,,,46,,,46,46,46,46,46,,,,,,,,,,,,,,,
,,,49,,49,,,46,,,79,,,,,,,56,56,56,,,,,,,46,46,51,51,46,46,46,46,,,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,51,51,46,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,79,,,,,,79,,,,,,,,,,,,,46,46,,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,50,50,50,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
