,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,,,,,,,,,,58,71,,,58,58,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,60,60,,,,,,58,,,71,,71,,58,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,71,,71,,,,,,,,,71,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45,46,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,58,,,,,,,,,,,,,50,49,,,,,,,,,,,,,,,,,,,,,,,,,
,60,60,,,,71,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,58,58,58,,,,,,,,,,,,,,,,
,,,,,,,46,,,,,,,,,,,,60,,,,,,,,,,,71,58,58,58,71,71,,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,60,,,,,,,,,,,,,,71,,71,71,71,,,,,,,,,,,,,,
,,,,,71,,,60,60,,,,,,,,60,60,,,,,,,,,,,,,,71,71,71,71,,,,,,,,,,,,,,
,,,,,71,,,,,,,,,,58,58,58,,73,,,,,,,,,,73,,,71,71,71,71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,48,,73,73,,,,,,,,,73,,,,,71,71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,46,45,50,,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60,60,,,,,,,,,45,49,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,73,,,,,,,,,,,,,,,,,,,,,,58,58,,,,,,,,,,,,,,,,,,,,
,,,46,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,71,,,,,,,,,,73,,,,,,,60,60,60,72,,,,,,,,,72,,,,,,,,,,,,,,
,,,,,,,71,,,,,,,,73,,,,,,,,60,60,60,,,,,,,,,,72,,,,,,,,,,,,,,
,,,71,,,,,,71,,,,,,,,,60,,,,,,60,,,,,,,,,,,72,,,,,,,,,,,,,,
,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,60,60,,,,,,,,,72,72,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
