51,51,51,46,46,46,,81,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,
51,51,51,49,49,48,48,,,61,,,80,,,,,,,,,61,61,,,81,,,,,,,,,,,,,,,,,,,,,,,,
51,51,49,49,45,45,45,46,,61,,,,,,,,80,,,,61,,,,,,,80,80,80,,,,,,,,,,,,,,,,,,,
,,,,45,45,,45,81,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,,45,45,,45,81,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,
61,61,,,,,,,,,,70,,,,,,,,,,70,,,,70,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,61,,,,,,65,,81,61,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,,,,,,,,,70,61,81,,,,80,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,,,70,,,,,,,,,,,,70,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,62,,62,,,,,,,,,,,,,,,,,
48,48,,,,,,,61,,,,,,,,,,,,,,,,49,48,46,,,,,80,,,,,,,,,,,,,,,,,,
50,48,50,,,80,,,,,61,,,,,,64,,,,,81,45,,48,,49,,,,62,,,,62,,,,,,,,,,,,,,,
50,50,50,,,,,,61,,,,,,,,,,,,,50,,,,,,,,,,62,,70,,,,,,,,,,,,,,,,
51,51,,,,,46,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,80,,,,,70,61,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,
,,63,,,,,,,48,48,48,,,,,,,49,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,48,48,48,,,,,45,,,61,,,,,61,,61,,,,,,,80,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,80,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,80,,,,,,,,,,,,,,,,,,,,61,61,,,80,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,45,,,61,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80,,,,,,,,,80,81,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,70,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
